Log(E/eV)	Log(R/pc)	Syn	ICIR	IC	Dif	Acc	Adia
7.05263	0.827586	-11.754	-14.1391	-13.3437	-21.6547	2.79719	-8.01682
7.57895	0.827586	-11.2277	-13.652	-12.8595	-21.1284	2.27087	-8.01682
8.10526	0.827586	-10.7013	-13.1657	-12.3827	-20.6021	1.74456	-8.01682
8.63158	0.827586	-10.175	-12.6787	-11.9247	-20.0758	1.21824	-8.01682
9.15789	0.827586	-9.64871	-12.1911	-11.5109	-19.5495	0.691925	-8.01682
9.68421	0.827586	-9.1224	-11.7048	-11.1618	-19.0232	0.165609	-8.01682
10.2105	0.827586	-8.59608	-11.2261	-10.8795	-18.4968	-0.360707	-8.01682
10.7368	0.827586	-8.06976	-10.7745	-10.706	-17.9705	-0.887023	-8.01682
11.2632	0.827586	-7.54345	-10.3985	-10.7021	-17.4442	-1.41334	-8.01682
11.7895	0.827586	-7.01713	-10.1775	-10.8769	-16.9179	-1.93965	-8.01682
12.3158	0.827586	-6.49082	-10.1719	-11.2002	-16.3916	-2.46597	-8.01682
12.8421	0.827586	-5.9645	-10.3849	-11.6294	-15.8653	-2.99229	-8.01682
13.3684	0.827586	-5.43819	-10.7669	-12.1228	-15.3389	-3.5186	-8.01682
13.8947	0.827586	-4.91187	-11.2454	-12.6483	-14.8126	-4.04492	-8.01682
14.4211	0.827586	-4.38555	-11.7663	-13.1868	-14.2863	-4.57123	-8.01682
14.9474	0.827586	-3.85924	-12.3031	-13.73	-13.76	-5.09755	-8.01682
15.4737	0.827586	-3.33292	-12.8452	-14.2746	-13.2337	-5.62386	-8.01682
16	0.827586	-2.80661	-13.3889	-14.8194	-12.7074	-6.15018	-8.01682
6	0.896552	-12.9445	-15.2157	-14.4191	-22.7763	3.78085	-8.08578
6.52632	0.896552	-12.4182	-14.6361	-13.8398	-22.25	3.25454	-8.08578
7.05263	0.896552	-11.8919	-14.1391	-13.3437	-21.7237	2.72822	-8.08578
7.57895	0.896552	-11.3656	-13.652	-12.8595	-21.1974	2.20191	-8.08578
8.10526	0.896552	-10.8393	-13.1657	-12.3827	-20.6711	1.67559	-8.08578
8.63158	0.896552	-10.313	-12.6787	-11.9247	-20.1448	1.14928	-8.08578
9.15789	0.896552	-9.78664	-12.1911	-11.5109	-19.6184	0.622959	-8.08578
9.68421	0.896552	-9.26033	-11.7048	-11.1618	-19.0921	0.0966435	-8.08578
10.2105	0.896552	-8.73401	-11.2261	-10.8795	-18.5658	-0.429672	-8.08578
10.7368	0.896552	-8.2077	-10.7745	-10.706	-18.0395	-0.955988	-8.08578
11.2632	0.896552	-7.68138	-10.3985	-10.7021	-17.5132	-1.4823	-8.08578
11.7895	0.896552	-7.15506	-10.1775	-10.8769	-16.9869	-2.00862	-8.08578
12.3158	0.896552	-6.62875	-10.1719	-11.2002	-16.4605	-2.53494	-8.08578
12.8421	0.896552	-6.10243	-10.3849	-11.6294	-15.9342	-3.06125	-8.08578
13.3684	0.896552	-5.57612	-10.7669	-12.1228	-15.4079	-3.58757	-8.08578
13.8947	0.896552	-5.0498	-11.2454	-12.6483	-14.8816	-4.11388	-8.08578
14.4211	0.896552	-4.52349	-11.7663	-13.1868	-14.3553	-4.6402	-8.08578
14.9474	0.896552	-3.99717	-12.3031	-13.73	-13.829	-5.16651	-8.08578
15.4737	0.896552	-3.47085	-12.8452	-14.2746	-13.3026	-5.69283	-8.08578
16	0.896552	-2.94454	-13.3889	-14.8194	-12.7763	-6.21915	-8.08578
6	0.965517	-13.0825	-15.2157	-14.4191	-22.8453	3.71189	-8.15475
6.52632	0.965517	-12.5562	-14.6361	-13.8398	-22.319	3.18557	-8.15475
7.05263	0.965517	-12.0298	-14.1391	-13.3437	-21.7927	2.65926	-8.15475
7.57895	0.965517	-11.5035	-13.652	-12.8595	-21.2663	2.13294	-8.15475
8.10526	0.965517	-10.9772	-13.1657	-12.3827	-20.74	1.60663	-8.15475
8.63158	0.965517	-10.4509	-12.6787	-11.9247	-20.2137	1.08031	-8.15475
9.15789	0.965517	-9.92457	-12.1911	-11.5109	-19.6874	0.553994	-8.15475
9.68421	0.965517	-9.39826	-11.7048	-11.1618	-19.1611	0.027678	-8.15475
10.2105	0.965517	-8.87194	-11.2261	-10.8795	-18.6348	-0.498638	-8.15475
10.7368	0.965517	-8.34563	-10.7745	-10.706	-18.1085	-1.02495	-8.15475
11.2632	0.965517	-7.81931	-10.3985	-10.7021	-17.5821	-1.55127	-8.15475
11.7895	0.965517	-7.293	-10.1775	-10.8769	-17.0558	-2.07759	-8.15475
12.3158	0.965517	-6.76668	-10.1719	-11.2002	-16.5295	-2.6039	-8.15475
12.8421	0.965517	-6.24036	-10.3849	-11.6294	-16.0032	-3.13022	-8.15475
13.3684	0.965517	-5.71405	-10.7669	-12.1228	-15.4769	-3.65653	-8.15475
13.8947	0.965517	-5.18773	-11.2454	-12.6483	-14.9506	-4.18285	-8.15475
14.4211	0.965517	-4.66142	-11.7663	-13.1868	-14.4242	-4.70916	-8.15475
14.9474	0.965517	-4.1351	-12.3031	-13.73	-13.8979	-5.23548	-8.15475
15.4737	0.965517	-3.60878	-12.8452	-14.2746	-13.3716	-5.7618	-8.15475
16	0.965517	-3.08247	-13.3889	-14.8194	-12.8453	-6.28811	-8.15475
6	1.03448	-13.2204	-15.2157	-14.4191	-22.9143	3.64292	-8.22372
6.52632	1.03448	-12.6941	-14.6361	-13.8398	-22.3879	3.11661	-8.22372
7.05263	1.03448	-12.1678	-14.1391	-13.3437	-21.8616	2.59029	-8.22372
7.57895	1.03448	-11.6415	-13.652	-12.8595	-21.3353	2.06398	-8.22372
8.10526	1.03448	-11.1151	-13.1657	-12.3827	-20.809	1.53766	-8.22372
8.63158	1.03448	-10.5888	-12.6787	-11.9247	-20.2827	1.01134	-8.22372
9.15789	1.03448	-10.0625	-12.1911	-11.5109	-19.7564	0.485028	-8.22372
