Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc	Ad
11.7576	10.679	0.363847	-8.75195	-11.2041	-9.56214	-8.4872	-2.75921	-8.95294
11.8586	10.679	0.363847	-8.65094	-11.2692	-9.48985	-8.4872	-2.86022	-8.95294
11.9596	10.679	0.363847	-8.54993	-11.3386	-9.4222	-8.4872	-2.96123	-8.95294
12.0606	10.679	0.363847	-8.44892	-11.412	-9.35973	-8.4872	-3.06224	-8.95294
12.1616	10.679	0.363847	-8.34791	-11.4891	-9.303	-8.4872	-3.16325	-8.95294
12.2626	10.679	0.363847	-8.2469	-11.5694	-9.2525	-8.4872	-3.26426	-8.95294
12.3636	10.679	0.363847	-8.14589	-11.6528	-9.20868	-8.4872	-3.36527	-8.95294
12.4646	10.679	0.363847	-8.04488	-11.7388	-9.1719	-8.4872	-3.46629	-8.95294
12.5657	10.679	0.363847	-7.94387	-11.8272	-9.14243	-8.4872	-3.5673	-8.95294
12.6667	10.679	0.363847	-7.84286	-11.9178	-9.12048	-8.4872	-3.66831	-8.95294
12.7677	10.679	0.363847	-7.74185	-12.0103	-9.10615	-8.4872	-3.76932	-8.95294
12.8687	10.679	0.363847	-7.64084	-12.1044	-9.09948	-8.4872	-3.87033	-8.95294
12.9697	10.679	0.363847	-7.53983	-12.2001	-9.10042	-8.4872	-3.97134	-8.95294
13.0707	10.679	0.363847	-7.43882	-12.297	-9.10886	-8.4872	-4.07235	-8.95294
13.1717	10.679	0.363847	-7.33781	-12.3951	-9.12466	-8.4872	-4.17336	-8.95294
13.2727	10.679	0.363847	-7.2368	-12.4941	-9.14759	-8.4872	-4.27437	-8.95294
13.3737	10.679	0.363847	-7.13579	-12.594	-9.1774	-8.4872	-4.37538	-8.95294
13.4747	10.679	0.363847	-7.03478	-12.6947	-9.2138	-8.4872	-4.47639	-8.95294
13.5758	10.679	0.363847	-6.93377	-12.7959	-9.25648	-8.4872	-4.5774	-8.95294
13.6768	10.679	0.363847	-6.83276	-12.8976	-9.30508	-8.4872	-4.67841	-8.95294
13.7778	10.679	0.363847	-6.73175	-12.9998	-9.35924	-8.4872	-4.77942	-8.95294
13.8788	10.679	0.363847	-6.63074	-13.1024	-9.41859	-8.4872	-4.88043	-8.95294
13.9798	10.679	0.363847	-6.52973	-13.2052	-9.48275	-8.4872	-4.98144	-8.95294
14.0808	10.679	0.363847	-6.42872	-13.3083	-9.55133	-8.4872	-5.08245	-8.95294
14.1818	10.679	0.363847	-6.32771	-13.4116	-9.62398	-8.4872	-5.18346	-8.95294
14.2828	10.679	0.363847	-6.22669	-13.5151	-9.70033	-8.4872	-5.28447	-8.95294
14.3838	10.679	0.363847	-6.12568	-13.6187	-9.78003	-8.4872	-5.38548	-8.95294
