log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-3.43419	55.4283	653.831	35.8932	0	25.6881	27.6838	35.8932
-3.20186	55.4283	653.831	36.0104	0	26.5878	27.9045	36.0104
-2.96954	55.4283	653.831	36.1245	0	27.3931	28.1179	36.1245
-2.73722	55.4283	653.831	36.2447	0	28.1506	28.3077	36.2447
-2.50489	55.4283	653.831	36.3601	0	28.8777	28.4967	36.3601
-2.27257	55.4283	653.831	36.471	0	29.5824	28.6854	36.471
-2.04025	55.4283	653.831	36.5902	0	30.2666	28.8519	36.5902
-1.80792	55.4283	653.831	36.7082	0	30.9276	29.0233	36.7082
-1.5756	55.4283	653.831	36.8212	22.3606	31.5561	29.1967	36.8212
-1.34328	55.4283	653.831	36.9408	25.2897	32.1351	29.3529	36.9408
-1.11095	55.4283	653.831	37.0586	26.1758	32.6434	29.5072	37.0587
-0.87863	55.4283	653.831	37.1695	26.9454	33.0739	29.6696	37.1695
-0.646307	55.4283	653.831	37.2865	27.6714	33.451	29.8167	37.2865
-0.413984	55.4283	653.831	37.4049	28.3753	33.7972	29.9665	37.405
-0.181661	55.4283	653.831	37.517	29.0647	34.111	30.12	37.5171
0.0506627	55.4283	653.831	37.6349	29.7409	34.3857	30.2616	37.6351
0.282986	55.4283	653.831	37.755	30.401	34.6251	30.4034	37.7553
0.515309	55.4283	653.831	37.8669	31.0366	34.8524	30.5514	37.8673
0.747632	55.4283	653.831	37.982	31.6324	35.0584	30.6907	37.9825
0.979956	55.4283	653.831	38.1002	32.1667	35.2481	30.8324	38.1009
1.21228	55.4283	653.831	38.2108	32.6234	35.4164	30.9771	38.2115
1.4446	55.4283	653.831	38.3245	33.0159	35.5922	31.1101	38.3253
1.67693	55.4283	653.831	38.4437	33.3725	35.7506	31.2491	38.4446
1.90925	55.4283	653.831	38.5548	33.6975	35.8887	31.3885	38.5558
2.14157	55.4283	653.831	38.6654	33.9859	36.0421	31.5213	38.6664
2.37389	55.4283	653.831	38.7792	34.2395	36.1763	31.6598	38.7803
2.60622	55.4283	653.831	38.8829	34.4649	36.2851	31.7989	38.8841
2.83854	55.4283	653.831	38.9838	34.6884	36.4247	31.9252	38.985
3.07086	55.4283	653.831	39.0896	34.8808	36.5615	32.0676	39.0909
3.30319	55.4283	653.831	39.1851	35.0483	36.6874	32.2022	39.1865
3.53551	55.4283	653.831	39.2724	35.2277	36.7981	32.3275	39.2739
3.76783	55.4283	653.831	39.3604	35.3907	36.9396	32.4556	39.3621
4.00016	55.4283	653.831	39.4325	35.5233	37.0489	32.593	39.4343
4.23248	55.4283	653.831	39.4878	35.6754	37.1604	32.7229	39.4899
4.4648	55.4283	653.831	39.5431	35.8222	37.3153	32.8504	39.5458
4.69713	55.4283	653.831	39.5817	35.9526	37.374	32.9835	39.5845
4.92945	55.4283	653.831	39.5913	36.0693	37.5323	33.1101	39.5952
5.16177	55.4283	653.831	39.5899	36.2	37.6072	33.2369	39.5946
5.3941	55.4283	653.831	39.553	36.3365	37.7576	33.3652	39.5602
5.62642	55.4283	653.831	39.4271	36.4465	37.8441	33.4918	39.4387
5.85874	55.4283	653.831	39.2112	36.5795	38.0095	33.6061	39.2386
6.09107	55.4283	653.831	38.9248	36.7136	38.0943	33.7449	38.987
6.32339	55.4283	653.831	38.5072	36.787	38.241	33.8595	38.7005
6.55571	55.4283	653.831	37.8027	36.9398	38.339	33.9754	38.4631
6.78804	55.4283	653.831	36.4485	37.0023	38.4817	34.0874	38.4997
7.02036	55.4283	653.831	33.9217	37.1553	38.5874	34.2038	38.6032
7.25268	55.4283	653.831	29.3884	37.2785	38.735	34.3143	38.7499
7.48501	55.4283	653.831	21.4293	37.3987	38.7873	34.4281	38.8047
7.71733	55.4283	653.831	7.62117	37.4945	38.9515	34.5353	38.9664
7.94965	55.4283	653.831	-16.1732	37.6188	39.0615	34.6492	39.0769
